Address,Lat,Long
1332 Blarney Ct (in front of retention basin),38.100529,-84.525017
1912 Brynell Dr,38.060468,-84.445697
982 Della Dr,38.037398,-84.544951
"Duncan Park, 530 N Limestone, Lexington, KY 40508",38.052323,-84.487276
"3460 Milano Rd, Lexington, KY 40517",37.983318,-84.482027
"455-D Southland Dr, Lexington, KY 40503",38.019704,-84.527065
2028 Heather Way,38.005262,-84.511882
"396 Redding Rd, Lexington, KY 40517",37.987378,-84.503017
"362 N Martin Luther King Blvd, Lexington, KY 40508",38.048781,-84.488657
3413 Lullwater Rd,37.991614,-84.511993
"333 Larch Ln, Lexington, KY 40511",38.072776,-84.52086
"444 Glen Arvin Ave, Lexington, KY 40508",38.065087,-84.504066
1961 Old Paris Rd,38.074374,-84.457419
"1156 Horseman’s Ln Lex, Ky",38.05535,-84.461106
"108 Dennis Dr, Lexington, KY 40503",38.002873,-84.521617
"124 N Ashland Ave, Lexington, KY 40502",38.035621,-84.482979
"663 S Limestone, Lexington, KY 40508",38.035605,-84.508333
1900 Westmeath Pl,38.003082,-84.564655
622 Wichita Dr,38.015196,-84.543953
901 Wyndham Hills Dr,37.974155,-84.556962
449 Yale Dr ,37.980651,-84.515103
"4470 Mt. Horeb Pike, Lexington, KY",38.158658,-84.468044
"3617 Gloucester Drive, Lexington, KY",38.048989,-84.628038
"3564 Clays Mill Rd., Lexington, KY",37.988446,-84.559482
"2229 Lovell Court, Lexington, KY",38.016491,-84.573176
"1850 Mercer Road, Lexington, KY",38.077236,-84.532864
"1126 Redwood Dr, Lexington, KY",38.082354,-84.504793
"4301 Clemens Drive, LEXINGTON, KY",37.987766,-84.578866
"1364 Copper Creek Drive, Lexington, KY",37.983843,-84.571916
"336 Redding Rd, Lexington, KY",37.989462,-84.510852
"340 Wilson Downing Rd, Lexington, KY",37.980033,-84.513901
"630 South Point Drive, Lexington, KY",37.955698,-84.506523
"859 Jairus Drive, Lexington, KY",37.958172,-84.49511
"1184 Colorado Rd, Lexington, KY",38.012664,-84.408369
"861 Kingsbury Road, Lexington, KY",38.028011,-84.438913
"649 Graftons Mill Lane, Lexington, KY",38.028011,-84.438913
"440 Larkwood Dr, Lexington, KY",38.014046,-84.442927
"420 Sandalwood Dr, Lexington, KY",38.063699,-84.449611
"536 Cricklewood Dr, Lexington, KY",38.057211,-84.454625
"257 North Limestone, Lexington, KY",38.049356,-84.492995
"690 Newtown Pike, Lexington, KY",38.066155,-84.498659
"381 West Loudon Ave., Lexington, KY",38.06395,-84.495838
"1622 Lindy Lane, Lexington, KY",38.038055,-84.463367
"329 Sherman Ave, Lexington, KY",38.033946,-84.4705
"901 Aurora Ave, Lexington, KY",38.037721,-84.477991
"606 East Main St., Lexington, KY",38.037315,-84.487323
"145 Woodland Avenue, Lexington, KY",38.038236,-84.491151
"221 South Ashland Avenue, Lexington, KY",38.033673,-84.487285
"300 Woodland Ave., Lexington, KY",38.036395,-84.493358
"646 East High Street, Lexington, KY",38.032619,-84.491249
"Ashland Terrace Retirement Home 475 South Ashland Avenue, Lexington, KY",38.029007,-84.492868
"427 Dudley Rd, Lexington, KY",38.021597,-84.482385
"2100 Fontaine Rd, Lexington, KY",38.016123,-84.468916
"3409 Fleetwood Dr, Lexington, KY",37.997077,-84.487573
"300 Alumni Dr., Lexington, KY",38.018177,-84.506965
"416 Greenbriar Road, Lexington, KY",38.00427,-84.50458
"2438 Larkin Rd, Lexington, KY",38.001338,-84.513345
"345 Chase Place, Lexington, KY",38.002109,-84.535429
"2076 Regency Rd, Lexington, KY",38.010278,-84.5233
"164 Rosemont Garden, Lexington, KY",38.01818,-84.519023
"327 Sheridan, Lexington, KY",38.014903,-84.525782
"1904 Port Royal Ct, Lexington, KY",38.045383,-84.54801
"2050 Versailles Rd, Lexington, KY",38.046215,-84.541912
"1917 Westminster Drive, Lexington, KY",38.050915,-84.542551
"1904 Deauville Dr, Lexington, KY",38.050346,-84.543139
